30-10-2024 20:03:49 GET /api/v1/file/tasks [object Object]
14-11-2024 11:43:06 DELETE /api/v1/tasks/9 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"561126ca-76c3-4801-83b4-a9cf1be25691","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 11:44:22 POST /api/v1/tasks {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"35b8eac0-fba2-4252-9a39-a49e4406323a","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"61"}
14-11-2024 11:44:26 DELETE /api/v1/tasks/10 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"976e5d8c-99c1-47ed-8569-a4b59ec869fa","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 11:46:06 POST /api/v1/tasks {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"ba8c5dc8-345c-4f2c-8e1c-fbd2b295ee03","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"61"}
14-11-2024 11:46:10 DELETE /api/v1/tasks/11 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"c7f7c764-b2f8-488a-8d1e-b7d74c8c3c5d","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 11:46:28 POST /api/v1/tasks {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"4738fa7f-0266-4e10-8349-ec33c4406ffb","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"61"}
14-11-2024 11:46:33 DELETE /api/v1/tasks/11 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"d47823c4-d416-484c-abeb-5a0d676af04c","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 11:46:56 DELETE /api/v1/tasks/11 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"6843aeeb-0a80-4cf2-9a92-3321a537d57f","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 11:46:59 DELETE /api/v1/tasks/12 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"49c2c641-2760-443a-a07e-259601e4b794","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 11:51:55 GET /api/v1/tasks {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"5a0637a0-208a-47d2-ba46-02ae8e314422","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 11:52:29 GET /api/v1/tasks {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"10a65c41-6fe1-4b98-b317-54da7de7ef48","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 12:03:04 GET /api/v1/tasks {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"7048b4c0-227c-454a-b288-acb233efdfd1","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 12:03:11 GET /api/v1/tasks/4 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"45797afb-bf0c-4a0b-9cc6-3086dd0ddbb4","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 12:03:14 GET /api/v1/tasks/400 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"1d719512-bd44-4b3a-b6cc-3145c78a1aae","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 12:03:18 GET /api/v1/tasks/hola {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"19147e55-1ede-4de8-865f-4c1c7483954a","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 12:03:23 GET /api/v1/tasks/4 {"user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"52114c55-641e-491e-b7fc-16ac23ee8c95","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive"}
14-11-2024 12:03:33 POST /api/v1/tasks {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"a973eb88-864b-48f2-a8e1-5e0a8359d48f","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"61"}
14-11-2024 12:04:11 POST /api/v1/tasks {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"e1730d8c-4d46-418a-967c-b1799d367239","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"22"}
14-11-2024 12:04:35 PUT /api/v1/tasks/4 {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"41e56f4b-b07b-4feb-91d5-73c08270d9e1","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"65"}
14-11-2024 12:05:43 PUT /api/v1/tasks/4 {"content-type":"application/json","user-agent":"PostmanRuntime/7.42.0","accept":"*/*","cache-control":"no-cache","postman-token":"f1643d02-9645-45ee-b391-a12298eae494","host":"localhost:3000","accept-encoding":"gzip, deflate, br","connection":"keep-alive","content-length":"65"}
